蒸汽进装置流量,稳定塔下部温度,蒸汽进装置压力,燃料气进装置流量,待生吸附S,原料进装置流量,精制汽油出装置流量,反应器底部温度,待生吸附-焦碳,循环水出装置流量,D105流化氢气流量,净化风进装置流量,原料泵出口流量,稳定塔液位,反应器上部温度,净化风进装置压力,氮气进装置压力,D107提升氮气流量,精制汽油出装置硫含量,原料饱和烃,轻烃出装置流量,3#催化汽油进装置流量,循环水进装置流量,0.3MPa凝结水出装置流量,原料硫含量,原料密度,原料辛烷值,燃料气进装置压力,氮气进装置流量,污油出装置,产品辛烷值,产品硫含量
1458.33995,129.841715,0.852579265,479.09387,7.3,124.98168,111.21348,421.608145,2.32,390.00821,0,97.2439995,133.91172,55.0110755,424.6159,0.5154883,0.99449502,24.994936,-0.110001138,53.23,1813.5618,66.47259,397.2652,5361.62645,188,726.0857143,90.6,0.42700864,476.208445,2.11397955,89.22,3.2
1142.1792,129.844145,0.876448975,470.98357,7.34,125.1108,110.524815,417.92783,2.37,392.142255,0,100.028165,134.031585,54.996157,420.953385,0.513332205,0.99675382,24.9452525,0.241799185,52.3,1860.659,68.2789965,398.99598,5394.2922,169,731.3,90.5,0.420079665,453.687235,0.462973123,89.32,3.2
1025.87479,129.636925,0.85367739,433.017815,7.27,124.944665,111.57509,420.003515,2.43,395.394695,0,98.516146,133.862665,55.0218925,423.941065,0.516845365,0.9971267,24.943916,-0.040036152,52.3,1915.38625,67.8588885,402.39463,5349.3918,177,729.6142857,90.7,0.42326748,454.13806,0.219469375,89.32,3.2
967.85234,130.942725,0.856232985,440.395785,7.35,124.99319,111.388275,419.964775,3.08,391.422635,0,99.2776665,133.91116,55.0417475,423.722805,0.51460168,0.99550596,30.01942,-0.199543679,52.3,1896.60365,71.1854825,398.36981,5342.5033,159,725.4,90.4,0.414561535,467.95172,2.465470585,89.02,3.2
932.608515,130.758655,0.86264054,411.576765,6.58,124.863985,111.533045,422.128935,2.45,391.664825,0,98.592974,133.18754,55.0268465,427.132,0.52008105,0.99772534,30.023117,-0.18708555,52.24285714,1915.15845,69.551907,398.89097,5208.63935,173,725.4285714,89.6,0.417212175,470.47051,0.214852965,88.32,3.2
861.81653,130.03224,0.825375535,424.293325,6.32,125.042225,109.475725,422.130715,2.31,392.993985,0,102.3195215,133.42599,54.9639805,426.438005,0.51994858,0.996091675,30.0500455,0.916841588,52.1,1295.7642,69.4133875,400.513185,4926.6344,163,725.5,91,0.41929653,454.8152,0.69517476,89.59,3.2
796.45138,128.945935,0.833732665,430.14357,6.423333333,124.95324,109.581205,421.30184,2.38,390.99462,0,102.3450955,133.37827,54.997381,425.479815,0.521499845,0.995461865,30.095664,-0.032722599,51.35714286,1327.63605,68.3001065,398.505235,4916.36325,209,725.5,90.4,0.417777015,455.23862,0.2665234,89.2,4.6
1080.45445,130.27519,0.87259316,483.321605,7.81,124.87134,109.006855,418.672555,3,389.743035,0,99.6039695,133.39277,55.0200745,421.43433,0.375682965,0.995394605,30.0985235,2.5180886,49.5,1126.23385,69.4070205,395.542725,4725.2411,195,725.5,90.5,0.43244588,457.54293,0,89.2,6.6
1243.92635,129.974855,0.811643965,450.16538,6.72,124.847525,109.97484,420.2229,2.32,388.223575,0,100.8372965,133.180335,55.0006265,423.912025,0.499675515,0.99579953,30.01601,0.900767894,49.85714286,1265.68075,68.5751,393.61722,4804.6154,165,725.4428571,90.4,0.511090685,294.99632,2.643931895,89.3,3.2
1221.26315,129.047965,0.953136015,450.20108,6.72,124.862115,109.336705,420.01831,2.32,388.324,0,102.1238625,133.314025,54.938745,423.672715,0.51712563,0.995472105,30.010455,0.568016388,50.21428571,1019.19925,69.5807695,394.214475,4854.6814,159,725.3857143,90.2,0.45421661,449.79312,1.93029435,88.8,3.2
1489.93715,127.46958,0.886478465,462.12989,6.155,120.023765,106.50636,418.03235,1.99,393.137845,0,104.064185,128.65508,54.999885,420.758375,0.513760855,0.99477419,30.043836,-0.104550813,52,1243.3778,0,399.280125,5052.58755,85,725.1,90.2,0.414755555,482.09384,0.03892338,88.9,3.2
